security,ticker,OddLotVol,date,qtr
Stock,AAPL,3786.648,9/27/2019,9/30/2019
Stock,AAPL,2915.076,9/30/2019,9/30/2019
Stock,AAPL,4670.837,10/1/2019,12/31/2019
Stock,AAPL,4828.131,10/2/2019,12/31/2019
Stock,AAPL,3900.948,10/3/2019,12/31/2019
Stock,AAPL,3295.135,10/4/2019,12/31/2019
Stock,AAPL,3475.5,10/7/2019,12/31/2019
Stock,AAPL,4026.101,10/8/2019,12/31/2019
Stock,AAPL,2128.495,10/9/2019,12/31/2019
Stock,AAPL,3356.792,10/10/2019,12/31/2019
Stock,AAPL,4201.537,10/11/2019,12/31/2019
Stock,AAPL,2127.655,10/14/2019,12/31/2019
Stock,AAPL,2090.832,10/15/2019,12/31/2019
Stock,AAPL,1930.238,10/16/2019,12/31/2019
Stock,AAPL,1888.131,10/17/2019,12/31/2019
Stock,AAPL,2306.313,10/18/2019,12/31/2019
Stock,AAPL,1924.28,10/21/2019,12/31/2019
Stock,AAPL,1775.112,10/22/2019,12/31/2019
Stock,AAPL,1581.186,10/23/2019,12/31/2019
Stock,AAPL,1529.989,10/24/2019,12/31/2019
Stock,AAPL,1344.595,10/25/2019,12/31/2019
Stock,AAPL,2015.931,10/28/2019,12/31/2019
Stock,AAPL,2999.939,10/29/2019,12/31/2019
Stock,AAPL,2345.908,10/30/2019,12/31/2019
Stock,AAPL,2691.253,10/31/2019,12/31/2019
Stock,AAPL,2622.529,11/1/2019,12/31/2019
Stock,AAPL,1950.883,11/4/2019,12/31/2019
Stock,AAPL,1632.016,11/5/2019,12/31/2019
Stock,AAPL,1662.58,11/6/2019,12/31/2019
Stock,AAPL,1989.963,11/7/2019,12/31/2019
Stock,AAPL,1454.046,11/8/2019,12/31/2019
Stock,AAPL,1627.969,11/11/2019,12/31/2019
Stock,AAPL,1775.445,11/12/2019,12/31/2019
Stock,AAPL,2182.76,11/13/2019,12/31/2019
Stock,AAPL,2085.328,11/14/2019,12/31/2019
Stock,AAPL,1783.099,11/15/2019,12/31/2019
Stock,AAPL,1719.182,11/18/2019,12/31/2019
Stock,AAPL,1241.212,11/19/2019,12/31/2019
Stock,AAPL,2086.804,11/20/2019,12/31/2019
Stock,AAPL,1618.78,11/21/2019,12/31/2019
Stock,AAPL,1276.769,11/22/2019,12/31/2019
Stock,AAPL,1116.012,11/25/2019,12/31/2019
Stock,AAPL,1249.319,11/26/2019,12/31/2019
Stock,AAPL,992.939,11/27/2019,12/31/2019
Stock,AAPL,621.147,11/29/2019,12/31/2019
Stock,AAPL,1599.392,12/2/2019,12/31/2019
Stock,AAPL,1964.285,12/3/2019,12/31/2019
Stock,AAPL,1298.711,12/4/2019,12/31/2019
Stock,AAPL,1263.134,12/5/2019,12/31/2019
Stock,AAPL,1639.594,12/6/2019,12/31/2019
Stock,AAPL,1928.119,12/9/2019,12/31/2019
Stock,AAPL,1739.82,12/10/2019,12/31/2019
Stock,AAPL,1222.186,12/11/2019,12/31/2019
Stock,AAPL,2457.883,12/12/2019,12/31/2019
Stock,AAPL,2295.338,12/13/2019,12/31/2019
Stock,AAPL,1761.119,12/16/2019,12/31/2019
Stock,AAPL,1910.311,12/17/2019,12/31/2019
Stock,AAPL,1690.295,12/18/2019,12/31/2019
Stock,AAPL,1449.964,12/19/2019,12/31/2019
Stock,AAPL,2060.377,12/20/2019,12/31/2019
